EC_number,Substrate,UniProt_ID,Protein_file,Organism_name,Km_value (mM),pH,Temperature,Site_type,Substrate_SMILES,Mol_file,pKm_value
1.4.1.16,L-DELTA1-tetrahydrodipicolinate,G1UII1,3WYC.pdb,Ureibacillus thermosphaericus,0.26,8.5,30°C,Substrate+Cofactor,C1C[C@H](N=C(C1)C(=O)[O-])C(=O)[O-],mol_589.sdf,-0.585026652
1.4.1.16,NH4+,G1UII1,3WYC.pdb,Ureibacillus thermosphaericus,6.5,8.5,30°C,Substrate+Cofactor,[NH4+],mol_591.sdf,0.812913357
1.4.1.16,"meso-2,6-diaminoheptanedioate",P04964,1F06.pdb,Corynebacterium glutamicum,2.8,10,30°C,Substrate+Cofactor,C(CC(C(=O)O)N)CC(C(=O)O)N,mol_590.sdf,0.447158031
1.4.1.16,L-DELTA1-tetrahydrodipicolinate,P04964,1F06.pdb,Corynebacterium glutamicum,0.27,8.5,30°C,Substrate+Cofactor,C1C[C@H](N=C(C1)C(=O)[O-])C(=O)[O-],mol_589.sdf,-0.568636236
1.4.1.16,NH4+,P04964,1F06.pdb,Corynebacterium glutamicum,39.2,8.5,30°C,Substrate+Cofactor,[NH4+],mol_591.sdf,1.593286067
1.4.1.16,4-methyl-2-oxopentanoate,P04964,1F06.pdb,Corynebacterium glutamicum,33.51,-----,-----,Substrate+Cofactor,CC(CC(C(=O)[O-])=O)C,mol_157.sdf,1.525174428
1.4.1.16,pyruvate,P04964,1F06.pdb,Corynebacterium glutamicum,294.9,-----,-----,Substrate+Cofactor,C(C(=O)C)(=O)[O-],mol_149.sdf,2.469674773
1.4.1.16,2-oxovalerate,P04964,1F06.pdb,Corynebacterium glutamicum,57.04,-----,-----,Substrate+Cofactor,O=C(C(=O)[O-])CCC,mol_159.sdf,1.756179517
1.4.1.16,3-methyl-2-oxobutanoate,P04964,1F06.pdb,Corynebacterium glutamicum,97.88,-----,-----,Substrate+Cofactor,CC(C(C(=O)[O-])=O)C,mol_154.sdf,1.990693961
1.4.1.16,oxaloacetate,P04964,1F06.pdb,Corynebacterium glutamicum,29.92,-----,-----,Substrate+Cofactor,C(=O)(C(=O)O)CC(=O)[O-],mol_161.sdf,1.475961589
1.4.1.16,phenylpyruvate,Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,12.5,8.5,30°C,Substrate+Cofactor,C1(=CC=CC=C1)CC(C(=O)[O-])=O,mol_153.sdf,1.096910013
1.4.1.16,"meso-2,6-diaminoheptanedioate",Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,1.8,10,30°C,Substrate+Cofactor,C(CC(C(=O)O)N)CC(C(=O)O)N,mol_590.sdf,0.255272505
1.4.1.16,L-DELTA1-tetrahydrodipicolinate,Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,0.24,8.5,30°C,Substrate+Cofactor,C1C[C@H](N=C(C1)C(=O)[O-])C(=O)[O-],mol_589.sdf,-0.619788758
1.4.1.16,NH4+,Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,6.3,8.5,30°C,Substrate+Cofactor,[NH4+],mol_591.sdf,0.799340549
1.4.1.16,pyruvate,Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,13.5,8.5,30°C,Substrate+Cofactor,C(C(=O)C)(=O)[O-],mol_149.sdf,1.130333768
1.4.1.16,pyruvate,Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,12.0210898,-----,-----,Substrate+Cofactor,C(C(=O)C)(=O)[O-],mol_149.sdf,1.079943841
1.4.1.16,"meso-2,6-diaminoheptanedioate",G1UII1,3WYC.pdb,Ureibacillus thermosphaericus,1.9,10,30°C,Substrate+Cofactor,C(CC(C(=O)O)N)CC(C(=O)O)N,mol_590.sdf,0.278753601
1.4.1.16,"meso-2,6-diaminoheptanedioate",P04964,1F06.pdb,Corynebacterium glutamicum,0.43,-----,-----,Substrate+Cofactor,C(CC(C(=O)O)N)CC(C(=O)O)N,mol_590.sdf,-0.366531544
1.4.1.16,"meso-2,6-diaminoheptanedioate",Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,0.332716095,-----,-----,Substrate+Cofactor,C(CC(C(=O)O)N)CC(C(=O)O)N,mol_590.sdf,-0.47792619
1.4.1.16,"meso-2,6-diaminoheptanedioate",Q67PI3,3WBF.pdb,Symbiobacterium thermophilum,1.9,8.5,30°C,Substrate+Cofactor,C(CC(C(=O)O)N)CC(C(=O)O)N,mol_590.sdf,0.278753601
1.4.1.2,NAD+,P00366,6DHQ.pdb,Bos taurus,0.43,7.5,-----,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,-0.366531544
1.4.1.2,L-glutamate,P00366,6DHQ.pdb,Bos taurus,0.39,7.5,-----,Substrate+Cofactor,N[C@@H](CCC(=O)[O-])C(=O)[O-],mol_592.sdf,-0.408935393
1.4.1.2,NAD+,P39633,3K92.pdb,Bacillus subtilis,0.08,-----,-----,Substrate_only,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,-1.096910013
1.4.1.2,L-glutamate,P39633,3K92.pdb,Bacillus subtilis,0.34,-----,-----,Substrate_only,N[C@@H](CCC(=O)[O-])C(=O)[O-],mol_592.sdf,-0.468521083
1.4.1.2,NH4+,P39633,3K92.pdb,Bacillus subtilis,55.6,-----,-----,Substrate_only,[NH4+],mol_591.sdf,1.745074792
1.4.1.2,2-oxoglutarate,P39633,3K92.pdb,Bacillus subtilis,0.65,-----,-----,Substrate_only,O=C(C(=O)[O-])CCC(=O)[O-],mol_188.sdf,-0.187086643
1.4.1.2,NADH,P39633,3K92.pdb,Bacillus subtilis,0.07,-----,-----,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,-1.15490196
1.4.1.2,NAD+,P24295,1BGV.pdb,[Clostridium] symbiosum,0.14,-----,-----,Substrate_only,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,-0.853871964
1.4.1.28,NADH,A9BHL2,6G1H.pdb,Petrotoga mobilis,0.025,9.5,23°C,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,-1.602059991
1.4.1.28,(2R)-2-amino-4-oxopentanoate,A9BHL2,6G1H.pdb,Petrotoga mobilis,0.326,9.5,23°C,Substrate_only,N[C@@H](C(=O)[O-])CC(C)=O,mol_2111.sdf,-0.4867824
1.4.1.28,NH3,A9BHL2,6G1H.pdb,Petrotoga mobilis,319.7,9.5,23°C,Substrate_only,N,mol_593.sdf,2.504742636
1.4.1.28,NADH,S9Q235,6IAU.pdb,Cystobacter fuscus,0.06,9.5,23°C,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,-1.22184875
1.4.1.28,NADPH,S9Q235,6IAU.pdb,Cystobacter fuscus,0.01,9.5,23°C,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-2
1.4.1.28,Isobutanal,S9Q235,6IAU.pdb,Cystobacter fuscus,0.54,9.5,23°C,Substrate_only,C(C(C)C)=O,mol_16.sdf,-0.26760624
1.4.1.28,cyclohexanone,S9Q235,6IAU.pdb,Cystobacter fuscus,2.484954728,9.5,23°C,Substrate_only,C1(CCCCC1)=O,mol_26.sdf,0.395318481
1.4.1.28,NH3,S9Q235,6IAU.pdb,Cystobacter fuscus,98.91999798,9.5,23°C,Substrate_only,N,mol_593.sdf,1.995284099
1.4.1.4,NADH,A0A0U4QBJ6,5GUD.pdb,Corynebacterium glutamicum,0.16,7,30°C,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,-0.795880017
1.4.1.4,2-oxoglutarate,A0A0U4QBJ6,5GUD.pdb,Corynebacterium glutamicum,0.89,7,30°C,Substrate+Cofactor,O=C(C(=O)[O-])CCC(=O)[O-],mol_188.sdf,-0.050609993
1.4.1.4,NADPH,A0A0U4QBJ6,5GUD.pdb,Corynebacterium glutamicum,0.016,7,30°C,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-1.795880017
1.4.1.4,L-glutamate,A0A0U4QBJ6,5GUD.pdb,Corynebacterium glutamicum,50,7,30°C,Substrate+Cofactor,N[C@@H](CCC(=O)[O-])C(=O)[O-],mol_592.sdf,1.698970004
1.4.1.4,NADP+,A0A0U4QBJ6,5GUD.pdb,Corynebacterium glutamicum,0.093,7,30°C,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,mol_38.sdf,-1.031517051
1.4.1.4,NH3,A0A0U4QBJ6,5GUD.pdb,Corynebacterium glutamicum,33,7,30°C,Substrate+Cofactor,N,mol_593.sdf,1.51851394
1.4.1.4,NADP+,B6V7E4,5XWC.pdb,Aspergillus niger,0.021878114,9.3,-----,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,mol_38.sdf,-1.659990122
1.4.1.4,NADPH,B6V7E4,5XWC.pdb,Aspergillus niger,0.023,8,-----,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-1.638272164
1.4.1.4,2-oxoglutarate,B6V7E4,5XWC.pdb,Aspergillus niger,5.7,8,-----,Substrate+Cofactor,O=C(C(=O)[O-])CCC(=O)[O-],mol_188.sdf,0.755874856
1.4.1.4,NH3,B6V7E4,5XWC.pdb,Aspergillus niger,1.1,8,-----,Substrate+Cofactor,N,mol_593.sdf,0.041392685
1.4.1.4,L-glutamate,B6V7E4,5XWC.pdb,Aspergillus niger,37.62021793,9.3,-----,Substrate+Cofactor,N[C@@H](CCC(=O)[O-])C(=O)[O-],mol_592.sdf,1.575421307
1.4.1.4,NADP+,P00370,4BHT.pdb,Escherichia coli,0.07,8,22°C,Substrate_only,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,mol_38.sdf,-1.15490196
1.4.1.4,L-glutamate,P00370,4BHT.pdb,Escherichia coli,0.45,8,22°C,Substrate_only,N[C@@H](CCC(=O)[O-])C(=O)[O-],mol_592.sdf,-0.346787486
1.4.1.4,NADP+,P00370,4BHT.pdb,Escherichia coli,0.0184,8,-----,Substrate_only,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,mol_38.sdf,-1.735182177
1.4.1.4,NADPH,Q8ILF7,4BHT.pdb,Plasmodium falciparum,0.007,7,25°C,Apo site,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-2.15490196
1.4.1.4,NADP+,Q8ILF7,4BHT.pdb,Plasmodium falciparum,0.019,8,25°C,Apo site,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,mol_38.sdf,-1.721246399
1.4.1.4,L-glutamate,Q8ILF7,4BHT.pdb,Plasmodium falciparum,0.61,8,25°C,Apo site,N[C@@H](CCC(=O)[O-])C(=O)[O-],mol_592.sdf,-0.214670165
1.4.3.10,spermidine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.1,8,25°C,Substrate+Cofactor,NCCCCNCCCN,mol_594.sdf,-1
1.4.3.10,"1,6-diaminohexane",B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.17,8,25°C,Substrate+Cofactor,NCCCCCCN,mol_598.sdf,-0.769551079
1.4.3.10,cadaverine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.018,8,25°C,Substrate+Cofactor,NCCCCCN,mol_597.sdf,-1.744727495
1.4.3.10,2-hydroxyputrescine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.065,8,25°C,Substrate+Cofactor,C(CN)C(CN)O,mol_596.sdf,-1.187086643
1.4.3.10,L-ornithine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.33,8,25°C,Substrate+Cofactor,N[C@@H](CCCN)C(=O)O,mol_359.sdf,-0.48148606
1.4.3.10,spermine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.47,8,25°C,Substrate+Cofactor,NCCCNCCCCNCCCN,mol_599.sdf,-0.327902142
1.4.3.10,putrescine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.0035,9,25°C,Substrate+Cofactor,NCCCCN,mol_595.sdf,-2.455931956
1.4.3.10,putrescine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.0086,8,25°C,Substrate+Cofactor,NCCCCN,mol_595.sdf,-2.065501549
1.4.3.10,putrescine,B0F9F6,2YG4.pdb,Rhodococcus erythropolis,0.0454,8.3,25°C,Substrate+Cofactor,NCCCCN,mol_595.sdf,-1.342944147
1.4.3.11,L-glutamate,Q8L3C7,7E0D.pdb,Streptomyces sp.,0.173,-----,-----,Substrate+Cofactor,N[C@@H](CCC(=O)[O-])C(=O)[O-],mol_592.sdf,-0.761953897
1.4.3.14,L-lysine,A0A0G4DCU0,7C3H.pdb,Trichoderma viride,0.013,7.4,50°C,Substrate+Cofactor,N[C@@H](CCCCN)C(=O)O,mol_358.sdf,-1.886056648
1.4.3.14,L-lysine,A0A0G4DCU0,7C3H.pdb,Trichoderma viride,0.28,4,50°C,Substrate+Cofactor,N[C@@H](CCCCN)C(=O)O,mol_358.sdf,-0.552841969
1.4.3.14,L-lysine,A0A0J9X1X3,3X0V.pdb,Trichoderma viride,0.013,7.4,40°C,Substrate+Cofactor,N[C@@H](CCCCN)C(=O)O,mol_358.sdf,-1.886056648
1.4.3.16,L-asparagine,Q972D2,2E5V.pdb,Sulfurisphaera tokodaii,18.1,8,37°C,Cofactor_only,N[C@@H](CC(N)=O)C(=O)O,mol_369.sdf,1.257678575
1.4.3.16,L-aspartate,Q972D2,2E5V.pdb,Sulfurisphaera tokodaii,1.3,-----,37°C,Cofactor_only,N[C@@H](CC(=O)[O-])C(=O)[O-],mol_1006.sdf,0.113943352
1.4.3.16,L-aspartate,Q972D2,2E5V.pdb,Sulfurisphaera tokodaii,1.3,8,37°C,Cofactor_only,N[C@@H](CC(=O)[O-])C(=O)[O-],mol_1006.sdf,0.113943352
1.4.3.19,sarcosine,O31616,1RYI.pdb,Bacillus subtilis,0.6,8.5,37°C,Substrate+Cofactor,N(C)CC(=O)O,mol_606.sdf,-0.22184875
1.4.3.19,O2,O31616,1RYI.pdb,Bacillus subtilis,0.4,9.5,25°C,Substrate+Cofactor,O=O,mol_258.sdf,-0.397940009
1.4.3.19,O2,O31616,1RYI.pdb,Bacillus subtilis,0.45,7,25°C,Substrate+Cofactor,O=O,mol_258.sdf,-0.346787486
1.4.3.19,O2,O31616,1RYI.pdb,Bacillus subtilis,0.25,7.5,25°C,Substrate+Cofactor,O=O,mol_258.sdf,-0.602059991
1.4.3.19,O2,O31616,1RYI.pdb,Bacillus subtilis,0.28,8.5,25°C,Substrate+Cofactor,O=O,mol_258.sdf,-0.552841969
1.4.3.19,glycine-ethyl-ester,O31616,1RYI.pdb,Bacillus subtilis,1.8,8.5,37°C,Substrate+Cofactor,C(C)OC(CN)=O,mol_2358.sdf,0.255272505
1.4.3.19,N-ethylglycine,O31616,1RYI.pdb,Bacillus subtilis,2.8,8.5,37°C,Substrate+Cofactor,C(C)NCC(=O)O,mol_2359.sdf,0.447158031
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,5.6,7,25°C,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,0.748188027
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,3.8,8.5,25°C,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,0.579783597
1.4.3.19,Gly,O31616,1RYI.pdb,Bacillus subtilis,1.12,-----,-----,Substrate+Cofactor,C(C(=O)O)N,mol_600.sdf,0.049218023
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,14.7,9.5,25°C,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,1.167317335
1.4.3.19,cyclopropylglycine,O31616,1RYI.pdb,Bacillus subtilis,1.17,-----,-----,Substrate+Cofactor,C1(CC1)NCC(=O)O,mol_602.sdf,0.068185862
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,9.2,6.5,25°C,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,0.963787827
1.4.3.19,glyphosate,O31616,1RYI.pdb,Bacillus subtilis,87,8.5,25°C,Substrate+Cofactor,C(C(=O)O)NCP(=O)(O)O,mol_603.sdf,1.939519253
1.4.3.19,D-proline,Q81HQ7,7CYX.pdb,Bacillus cereus,8.58,8.2,23°C,Cofactor_only,N1[C@H](CCC1)C(=O)O,mol_605.sdf,0.933487288
1.4.3.19,glycine,Q81HQ7,7CYX.pdb,Bacillus cereus,9.67,8.2,23°C,Cofactor_only,NCC(=O)O,mol_600.sdf,0.985426474
1.4.3.19,D-alanine,Q81HQ7,7CYX.pdb,Bacillus cereus,45.54,8.2,23°C,Cofactor_only,N[C@H](C)C(=O)O,mol_604.sdf,1.658393026
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,0.7,8.5,-----,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,-0.15490196
1.4.3.19,sarcosine,O31616,1RYI.pdb,Bacillus subtilis,0.7,8.5,-----,Substrate+Cofactor,N(C)CC(=O)O,mol_606.sdf,-0.15490196
1.4.3.19,D-proline,O31616,1RYI.pdb,Bacillus subtilis,8.9,-----,-----,Substrate+Cofactor,N1[C@H](CCC1)C(=O)O,mol_605.sdf,0.949390007
1.4.3.19,D-alanine,O31616,1RYI.pdb,Bacillus subtilis,315,-----,-----,Substrate+Cofactor,N[C@H](C)C(=O)O,mol_604.sdf,2.498310554
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,0.770713955,8.5,37°C,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,-0.113106778
1.4.3.19,sarcosine,O31616,1RYI.pdb,Bacillus subtilis,0.7,8.5,25°C,Substrate+Cofactor,N(C)CC(=O)O,mol_606.sdf,-0.15490196
1.4.3.19,D-proline,O31616,1RYI.pdb,Bacillus subtilis,8.9,8.5,37°C,Substrate+Cofactor,N1[C@H](CCC1)C(=O)O,mol_605.sdf,0.949390007
1.4.3.19,D-alanine,O31616,1RYI.pdb,Bacillus subtilis,315,8.5,37°C,Substrate+Cofactor,N[C@H](C)C(=O)O,mol_604.sdf,2.498310554
1.4.3.19,O2,O31616,1RYI.pdb,Bacillus subtilis,0.15,9,25°C,Substrate+Cofactor,O=O,mol_258.sdf,-0.823908741
1.4.3.19,O2,O31616,1RYI.pdb,Bacillus subtilis,0.15,6.5,25°C,Substrate+Cofactor,O=O,mol_258.sdf,-0.823908741
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,5.4,7.5,25°C,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,0.73239376
1.4.3.19,glycine,O31616,1RYI.pdb,Bacillus subtilis,5.4,9,25°C,Substrate+Cofactor,NCC(=O)O,mol_600.sdf,0.73239376
1.4.3.2,L-lysine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.015,7.6,30°C,Substrate+Cofactor,N[C@@H](CCCCN)C(=O)O,mol_358.sdf,-1.823908741
1.4.3.2,L-phenylalanine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.022,7.6,30°C,Substrate+Cofactor,N[C@@H](CC1=CC=CC=C1)C(=O)O,mol_364.sdf,-1.657577319
1.4.3.2,L-arginine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.07,7.6,30°C,Substrate+Cofactor,N[C@@H](CCCNC(N)=N)C(=O)O,mol_357.sdf,-1.15490196
1.4.3.2,L-leucine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.028,7.6,30°C,Substrate+Cofactor,N[C@@H](CC(C)C)C(=O)O,mol_1023.sdf,-1.552841969
1.4.3.2,L-asparagine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.028,7.6,30°C,Substrate+Cofactor,N[C@@H](CC(N)=O)C(=O)O,mol_369.sdf,-1.552841969
1.4.3.2,L-ornithine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.034,7.6,30°C,Substrate+Cofactor,N[C@@H](CCCN)C(=O)O,mol_359.sdf,-1.468521083
1.4.3.2,L-glutamine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.085,7.6,30°C,Substrate+Cofactor,N[C@@H](CCC(N)=O)C(=O)O,mol_1018.sdf,-1.070581074
1.4.3.2,L-norleucine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.026,7.6,30°C,Substrate+Cofactor,N[C@@H](CCCC)C(=O)O,mol_1817.sdf,-1.585026652
1.4.3.2,L-citrulline,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.026,7.6,30°C,Substrate+Cofactor,N[C@@H](CCCNC(=O)N)C(=O)O,mol_2360.sdf,-1.585026652
1.4.3.2,L-tyrosine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.019,7.6,30°C,Substrate+Cofactor,N[C@@H](CC1=CC=C(C=C1)O)C(=O)O,mol_445.sdf,-1.721246399
1.4.3.2,L-methionine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.039,7.6,30°C,Substrate+Cofactor,N[C@@H](CCSC)C(=O)O,mol_991.sdf,-1.408935393
1.4.3.2,L-serine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,1.36,7.6,30°C,Substrate+Cofactor,N[C@@H](CO)C(=O)O,mol_37.sdf,0.133538908
1.4.3.2,L-alanine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.274,7.6,30°C,Substrate+Cofactor,N[C@@H](C)C(=O)O,mol_588.sdf,-0.562249437
1.4.3.2,L-Glutamic acid,Q8VPD4,2JB2.pdb,Rhodococcus opacus,0.411,7.6,30°C,Substrate+Cofactor,N[C@@H](CCC(=O)O)C(=O)O,mol_2361.sdf,-0.386158178
1.4.3.2,L-isoleucine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,5.11,7.6,30°C,Substrate+Cofactor,N[C@@H]([C@@H](C)CC)C(=O)O,mol_1026.sdf,0.7084209
1.4.3.2,L-valine,Q8VPD4,2JB2.pdb,Rhodococcus opacus,3.73,7.6,30°C,Substrate+Cofactor,N[C@@H](C(C)C)C(=O)O,mol_1027.sdf,0.571708832
1.4.3.20,L-lysine,F2JXJ3,3WEU.pdb,Marinomonas mediterranea,0.003532704,7.5,25°C,Substrate_only,N[C@@H](CCCCN)C(=O)O,mol_358.sdf,-2.451892707
1.4.3.20,O2,F2JXJ3,3WEU.pdb,Marinomonas mediterranea,0.0372,7.5,25°C,Substrate_only,O=O,mol_258.sdf,-1.42945706
1.4.3.20,L-lysine,F2JXJ3,3WEU.pdb,Marinomonas mediterranea,0.0018,7,25°C,Substrate_only,N[C@@H](CCCCN)C(=O)O,mol_358.sdf,-2.744727495
1.4.3.20,L-lysine,F2JXJ3,3WEU.pdb,Marinomonas mediterranea,0.0018,-----,-----,Substrate_only,N[C@@H](CCCCN)C(=O)O,mol_358.sdf,-2.744727495
1.4.3.21,2-Phenylethylamine,P46883,1D6Z.pdb,Escherichia coli,0.0012,7,25°C,Substrate+Cofactor,C1(=CC=CC=C1)CCN,mol_609.sdf,-2.920818754
1.4.3.21,methylamine,Q16853,2C10.pdb,Homo sapiens,0.67,-----,-----,Substrate+Cofactor,CN,mol_608.sdf,-0.173925197
1.4.3.21,aminoacetone,Q16853,2C10.pdb,Homo sapiens,0.066,7.4,37°C,Substrate+Cofactor,NCC(C)=O,mol_611.sdf,-1.180456064
1.4.3.21,cysteamine,Q16853,2C10.pdb,Homo sapiens,0.031,7.4,37°C,Substrate+Cofactor,NCCS,mol_617.sdf,-1.508638306
1.4.3.21,ethylamine,Q16853,2C10.pdb,Homo sapiens,12.8,7.4,37°C,Substrate+Cofactor,C(C)N,mol_615.sdf,1.10720997
1.4.3.21,methylamine,Q16853,2C10.pdb,Homo sapiens,0.464555702,7.4,37°C,Substrate+Cofactor,CN,mol_608.sdf,-0.332962205
1.4.3.21,dopamine,Q16853,2C10.pdb,Homo sapiens,0.099,7.4,37°C,Substrate+Cofactor,NCCC1=CC(O)=C(O)C=C1,mol_616.sdf,-1.004364805
1.4.3.21,phenethylamine,Q16853,2C10.pdb,Homo sapiens,2.05,7.4,37°C,Substrate+Cofactor,C(CC1=CC=CC=C1)N,mol_609.sdf,0.311753861
1.4.3.21,benzylamine,Q16853,2C10.pdb,Homo sapiens,0.184,7.4,37°C,Substrate+Cofactor,C(C1=CC=CC=C1)N,mol_607.sdf,-0.735182177
1.4.3.21,cyclohexanemethylamine,Q16853,2C10.pdb,Homo sapiens,16.5,7.4,37°C,Substrate+Cofactor,C1(CCCCC1)CN,mol_619.sdf,1.217483944
1.4.3.21,Propylamine,Q16853,2C10.pdb,Homo sapiens,2.65,7.4,37°C,Substrate+Cofactor,C(CC)N,mol_612.sdf,0.423245874
1.4.3.21,Butylamine,Q16853,2C10.pdb,Homo sapiens,2.83,7.4,37°C,Substrate+Cofactor,C(CCC)N,mol_614.sdf,0.451786436
1.4.3.21,Isobutylamine,Q16853,2C10.pdb,Homo sapiens,3.42,7.4,37°C,Substrate+Cofactor,C(C(C)C)N,mol_610.sdf,0.534026106
1.4.3.21,2-Phenylethylamine,Q16853,2C10.pdb,Homo sapiens,1.94,-----,-----,Substrate+Cofactor,C1(=CC=CC=C1)CCN,mol_609.sdf,0.28780173
1.4.3.21,Isoamylamine,Q16853,2C10.pdb,Homo sapiens,4.56,7.4,37°C,Substrate+Cofactor,C(CC(C)C)N,mol_618.sdf,0.658964843
1.4.3.21,amylamine,Q16853,2C10.pdb,Homo sapiens,5.71,7.4,37°C,Substrate+Cofactor,C(CCCC)N,mol_613.sdf,0.756636108
